hand_rank,player_chips,current_bet,min_bet,pot,num_community_cards,action
0.3,1.14,0.2,0.2,0.04,1.0,1
0.3,0.82,0.2,0.2,0.04,1.0,1
0.1,0.81,0.1,0.2,0.03,0.0,1
0.1,1.16,0.2,0.2,0.04,0.0,1
0.1,0.8,0.2,0.2,0.04,0.6,1
0.1,1.16,0.2,0.2,0.04,0.6,1
0.2,0.8,0.2,0.2,0.04,0.8,1
0.1,1.16,0.2,0.2,0.04,0.8,1
0.2,0.8,0.2,0.2,0.04,1.0,1
0.1,1.16,0.2,0.2,0.04,1.0,1
0.1,1.15,0.1,0.2,0.03,0.0,1
0.1,0.82,0.2,0.2,0.04,0.0,1
0.2,1.14,0.2,0.2,0.04,0.6,1
0.2,0.82,0.2,0.2,0.04,0.6,1
0.2,1.14,0.2,0.2,0.04,0.8,1
0.2,0.82,0.2,0.2,0.04,0.8,1
0.2,1.14,0.2,0.2,0.04,1.0,1
